gene_id	gene_name	DRX001077	DRX001078	DRX003214	DRX331013	SRX1096724	SRX12476603	SRX477984	SRX477985	SRX477988	SRX707440	UV_Tom
CYP76M14_1	CYP76M14_1	0.190869	0.295638	0.230719	0	2.150434	0.14236	0.048113	0	4.823238	0	0.300074
CYP76M14_2	CYP76M14_2	0.146267	0.221782	0.170797	0	1.01825	0.792977	0.06503	0	5.053808	0.266992	0
CYP76M14_3	CYP76M14_3	0.153403	0	0	0	0	0	0	0	0.10195	0	0
OoffiChr01g00001	OoffiChr01g00001	0.963374	10.213486	1.20018	0.82369	14.471639	31.45332	0.194096	1.032225	20.665377	0	5.09541
OoffiChr01g00002	OoffiChr01g00002	5.149208	1.312231	3.458011	5.562381	4.067652	1.74572	1.192243	0.485283	5.207318	2.905863	1.347206
OoffiChr01g00003	OoffiChr01g00003	6.126797	8.188797	4.781384	0.676168	0.893434	0.197474	0.046459	1.711933	4.380194	0.841099	2.588288
OoffiChr01g00004	OoffiChr01g00004	17.922903	17.066887	58.01024	33.689018	48.26734	58.666379	33.625582	82.206854	123.17029	17.826172	69.178104
OoffiChr01g00005	OoffiChr01g00005	39.032804	29.462013	46.994873	5.704863	5.882777	5.051279	4.4347	17.417277	5.452723	3.211288	9.743556
OoffiChr01g00006	OoffiChr01g00006	33.640686	54.740736	37.589386	12.983044	15.450419	20.391006	14.489371	28.621008	11.404226	8.768141	10.04088
OoffiChr01g00007	OoffiChr01g00007	10.570564	8.031315	4.012472	1.70236	1.219008	2.383481	2.544043	5.954053	5.080328	1.126876	1.941711
OoffiChr01g00008	OoffiChr01g00008	33.041481	43.655309	39.021361	22.913541	19.3482	13.237009	12.794972	25.782393	17.323402	9.306638	27.040035
OoffiChr01g00009	OoffiChr01g00009	35.002691	28.818922	43.57389	52.109988	112.084334	45.979603	60.226891	77.625297	39.900604	73.905843	51.482246
OoffiChr01g00010	OoffiChr01g00010	0	0	0	0	0	0.830919	0	0.241738	2.314084	11.561022	0
OoffiChr01g00011	OoffiChr01g00011	1.298272	0.303812	1.934046	0	4.408264	8.173933	0.770983	0.050909	11.35761	0.861688	0.460038
OoffiChr01g00012	OoffiChr01g00012	199.56217	118.19937	119.471716	159.488058	403.142796	628.537139	98.459162	45.704972	172.917398	138.603609	199.860798
OoffiChr01g00013	OoffiChr01g00013	0.440179	0.418483	23.67985	0	0.057166	0.086001	0	0	2.156306	0.445065	0
OoffiChr01g00014	OoffiChr01g00014	9.382698	6.965635	9.732464	26.416107	17.581101	15.827907	25.050985	14.179917	12.687982	30.636444	18.268019
OoffiChr01g00015	OoffiChr01g00015	18.236904	41.205522	32.895298	31.834259	15.255128	14.46382	25.236275	28.990055	22.292861	13.02469	21.416296
OoffiChr01g00016	OoffiChr01g00016	33.766317	28.334371	7.46723	0.587108	16.72912	0.469193	0.277355	1.918533	10.641207	0.897703	1.281303
OoffiChr01g00017	OoffiChr01g00017	2.318759	2.458924	4.462054	9.739643	12.477616	1.574423	13.153103	3.911697	2.595288	11.788047	2.631458
OoffiChr01g00018	OoffiChr01g00018	0.138972	0.829426	0.152298	0	0	0	0.094585	0.093822	3.197265	0	0
OoffiChr01g00019	OoffiChr01g00019	30.283922	17.846943	22.264904	34.716345	65.389075	19.371761	35.793791	31.204888	54.369381	35.900329	37.7194
OoffiChr01g00020	OoffiChr01g00020	58.968133	48.368369	131.365423	43.672329	60.578685	75.664859	64.948179	154.090938	93.254431	25.307214	70.884895
OoffiChr01g00021	OoffiChr01g00021	3.704362	4.491404	4.503557	0.588641	6.08196	0.44444	0.120373	0.485106	4.761306	0.794896	0
OoffiChr01g00022	OoffiChr01g00022	8.446338	31.555689	16.004976	9.606488	11.25428	10.634747	15.53954	21.644256	19.883652	5.289052	8.242005
OoffiChr01g00023	OoffiChr01g00023	0.2471	0.38352	0.263936	0	7.024512	2.00508	1.165654	4.55635	4.357618	1.761596	0
OoffiChr01g00024	OoffiChr01g00024	9.689229	23.649501	10.782509	17.672686	4.68575	12.816223	10.504433	8.934886	10.972832	2.336456	12.205534
OoffiChr01g00025	OoffiChr01g00025	83.244955	98.88644	147.293247	51.169201	143.359494	121.669284	98.416268	244.151996	156.819002	78.994818	81.29769
OoffiChr01g00026	OoffiChr01g00026	9.827178	23.312146	27.43229	126.587179	122.937054	43.854326	236.305539	52.909595	207.698176	138.558877	56.795875
OoffiChr01g00027	OoffiChr01g00027	18.617839	32.545762	14.901861	38.260083	28.248656	44.834567	20.346864	6.827267	23.140755	36.78807	58.960752
OoffiChr01g00028	OoffiChr01g00028	0.48837	0.550101	0.596897	0	0.213415	0	0.044039	1.653673	4.322075	2.459886	0
